timestep,producer,phi,theta,FILES
0.000000e+00,view_0,-180,-90,cinema/RenderView1/0.000000e+00/-180/-90.png
0.000000e+00,view_0,-180,-54,cinema/RenderView1/0.000000e+00/-180/-54.png
0.000000e+00,view_0,-180,-18,cinema/RenderView1/0.000000e+00/-180/-18.png
0.000000e+00,view_0,-180,18,cinema/RenderView1/0.000000e+00/-180/18.png
0.000000e+00,view_0,-180,54,cinema/RenderView1/0.000000e+00/-180/54.png
0.000000e+00,view_0,-108,-90,cinema/RenderView1/0.000000e+00/-108/-90.png
0.000000e+00,view_0,-108,-54,cinema/RenderView1/0.000000e+00/-108/-54.png
0.000000e+00,view_0,-108,-18,cinema/RenderView1/0.000000e+00/-108/-18.png
0.000000e+00,view_0,-108,18,cinema/RenderView1/0.000000e+00/-108/18.png
0.000000e+00,view_0,-108,54,cinema/RenderView1/0.000000e+00/-108/54.png
0.000000e+00,view_0,-36,-90,cinema/RenderView1/0.000000e+00/-36/-90.png
0.000000e+00,view_0,-36,-54,cinema/RenderView1/0.000000e+00/-36/-54.png
0.000000e+00,view_0,-36,-18,cinema/RenderView1/0.000000e+00/-36/-18.png
0.000000e+00,view_0,-36,18,cinema/RenderView1/0.000000e+00/-36/18.png
0.000000e+00,view_0,-36,54,cinema/RenderView1/0.000000e+00/-36/54.png
0.000000e+00,view_0,36,-90,cinema/RenderView1/0.000000e+00/36/-90.png
0.000000e+00,view_0,36,-54,cinema/RenderView1/0.000000e+00/36/-54.png
0.000000e+00,view_0,36,-18,cinema/RenderView1/0.000000e+00/36/-18.png
0.000000e+00,view_0,36,18,cinema/RenderView1/0.000000e+00/36/18.png
0.000000e+00,view_0,36,54,cinema/RenderView1/0.000000e+00/36/54.png
0.000000e+00,view_0,108,-90,cinema/RenderView1/0.000000e+00/108/-90.png
0.000000e+00,view_0,108,-54,cinema/RenderView1/0.000000e+00/108/-54.png
0.000000e+00,view_0,108,-18,cinema/RenderView1/0.000000e+00/108/-18.png
0.000000e+00,view_0,108,18,cinema/RenderView1/0.000000e+00/108/18.png
0.000000e+00,view_0,108,54,cinema/RenderView1/0.000000e+00/108/54.png
0.000000e+00,view_1,-180,-90,cinema/RenderView2/0.000000e+00/-180/-90.png
0.000000e+00,view_1,-180,-54,cinema/RenderView2/0.000000e+00/-180/-54.png
0.000000e+00,view_1,-180,-18,cinema/RenderView2/0.000000e+00/-180/-18.png
0.000000e+00,view_1,-180,18,cinema/RenderView2/0.000000e+00/-180/18.png
0.000000e+00,view_1,-180,54,cinema/RenderView2/0.000000e+00/-180/54.png
0.000000e+00,view_1,-108,-90,cinema/RenderView2/0.000000e+00/-108/-90.png
0.000000e+00,view_1,-108,-54,cinema/RenderView2/0.000000e+00/-108/-54.png
0.000000e+00,view_1,-108,-18,cinema/RenderView2/0.000000e+00/-108/-18.png
0.000000e+00,view_1,-108,18,cinema/RenderView2/0.000000e+00/-108/18.png
0.000000e+00,view_1,-108,54,cinema/RenderView2/0.000000e+00/-108/54.png
0.000000e+00,view_1,-36,-90,cinema/RenderView2/0.000000e+00/-36/-90.png
0.000000e+00,view_1,-36,-54,cinema/RenderView2/0.000000e+00/-36/-54.png
0.000000e+00,view_1,-36,-18,cinema/RenderView2/0.000000e+00/-36/-18.png
0.000000e+00,view_1,-36,18,cinema/RenderView2/0.000000e+00/-36/18.png
0.000000e+00,view_1,-36,54,cinema/RenderView2/0.000000e+00/-36/54.png
0.000000e+00,view_1,36,-90,cinema/RenderView2/0.000000e+00/36/-90.png
0.000000e+00,view_1,36,-54,cinema/RenderView2/0.000000e+00/36/-54.png
0.000000e+00,view_1,36,-18,cinema/RenderView2/0.000000e+00/36/-18.png
0.000000e+00,view_1,36,18,cinema/RenderView2/0.000000e+00/36/18.png
0.000000e+00,view_1,36,54,cinema/RenderView2/0.000000e+00/36/54.png
0.000000e+00,view_1,108,-90,cinema/RenderView2/0.000000e+00/108/-90.png
0.000000e+00,view_1,108,-54,cinema/RenderView2/0.000000e+00/108/-54.png
0.000000e+00,view_1,108,-18,cinema/RenderView2/0.000000e+00/108/-18.png
0.000000e+00,view_1,108,18,cinema/RenderView2/0.000000e+00/108/18.png
0.000000e+00,view_1,108,54,cinema/RenderView2/0.000000e+00/108/54.png
1.000737e-04,view_0,-180,-90,cinema/RenderView1/1.000737e-04/-180/-90.png
1.000737e-04,view_0,-180,-54,cinema/RenderView1/1.000737e-04/-180/-54.png
1.000737e-04,view_0,-180,-18,cinema/RenderView1/1.000737e-04/-180/-18.png
1.000737e-04,view_0,-180,18,cinema/RenderView1/1.000737e-04/-180/18.png
1.000737e-04,view_0,-180,54,cinema/RenderView1/1.000737e-04/-180/54.png
1.000737e-04,view_0,-108,-90,cinema/RenderView1/1.000737e-04/-108/-90.png
1.000737e-04,view_0,-108,-54,cinema/RenderView1/1.000737e-04/-108/-54.png
1.000737e-04,view_0,-108,-18,cinema/RenderView1/1.000737e-04/-108/-18.png
1.000737e-04,view_0,-108,18,cinema/RenderView1/1.000737e-04/-108/18.png
1.000737e-04,view_0,-108,54,cinema/RenderView1/1.000737e-04/-108/54.png
1.000737e-04,view_0,-36,-90,cinema/RenderView1/1.000737e-04/-36/-90.png
1.000737e-04,view_0,-36,-54,cinema/RenderView1/1.000737e-04/-36/-54.png
1.000737e-04,view_0,-36,-18,cinema/RenderView1/1.000737e-04/-36/-18.png
1.000737e-04,view_0,-36,18,cinema/RenderView1/1.000737e-04/-36/18.png
1.000737e-04,view_0,-36,54,cinema/RenderView1/1.000737e-04/-36/54.png
1.000737e-04,view_0,36,-90,cinema/RenderView1/1.000737e-04/36/-90.png
1.000737e-04,view_0,36,-54,cinema/RenderView1/1.000737e-04/36/-54.png
1.000737e-04,view_0,36,-18,cinema/RenderView1/1.000737e-04/36/-18.png
1.000737e-04,view_0,36,18,cinema/RenderView1/1.000737e-04/36/18.png
1.000737e-04,view_0,36,54,cinema/RenderView1/1.000737e-04/36/54.png
1.000737e-04,view_0,108,-90,cinema/RenderView1/1.000737e-04/108/-90.png
1.000737e-04,view_0,108,-54,cinema/RenderView1/1.000737e-04/108/-54.png
