timestep,producer,phi,theta,FILES
0.0,cview_0,-180,-90,RenderView2/0.0/-180/-90.png
0.0,cview_0,-180,-54,RenderView2/0.0/-180/-54.png
0.0,cview_0,-180,-18,RenderView2/0.0/-180/-18.png
0.0,cview_0,-180,18,RenderView2/0.0/-180/18.png
0.0,cview_0,-180,54,RenderView2/0.0/-180/54.png
0.0,cview_0,-108,-90,RenderView2/0.0/-108/-90.png
0.0,cview_0,-108,-54,RenderView2/0.0/-108/-54.png
0.0,cview_0,-108,-18,RenderView2/0.0/-108/-18.png
0.0,cview_0,-108,18,RenderView2/0.0/-108/18.png
0.0,cview_0,-108,54,RenderView2/0.0/-108/54.png
0.0,cview_0,-36,-90,RenderView2/0.0/-36/-90.png
0.0,cview_0,-36,-54,RenderView2/0.0/-36/-54.png
0.0,cview_0,-36,-18,RenderView2/0.0/-36/-18.png
0.0,cview_0,-36,18,RenderView2/0.0/-36/18.png
0.0,cview_0,-36,54,RenderView2/0.0/-36/54.png
0.0,cview_0,36,-90,RenderView2/0.0/36/-90.png
0.0,cview_0,36,-54,RenderView2/0.0/36/-54.png
0.0,cview_0,36,-18,RenderView2/0.0/36/-18.png
0.0,cview_0,36,18,RenderView2/0.0/36/18.png
0.0,cview_0,36,54,RenderView2/0.0/36/54.png
0.0,cview_0,108,-90,RenderView2/0.0/108/-90.png
0.0,cview_0,108,-54,RenderView2/0.0/108/-54.png
0.0,cview_0,108,-18,RenderView2/0.0/108/-18.png
0.0,cview_0,108,18,RenderView2/0.0/108/18.png
0.0,cview_0,108,54,RenderView2/0.0/108/54.png
0.0,cview_0,-180,-90,RenderView1/0.0/-180/-90.png
0.0,cview_0,-180,-54,RenderView1/0.0/-180/-54.png
0.0,cview_0,-180,-18,RenderView1/0.0/-180/-18.png
0.0,cview_0,-180,18,RenderView1/0.0/-180/18.png
0.0,cview_0,-180,54,RenderView1/0.0/-180/54.png
0.0,cview_0,-108,-90,RenderView1/0.0/-108/-90.png
0.0,cview_0,-108,-54,RenderView1/0.0/-108/-54.png
0.0,cview_0,-108,-18,RenderView1/0.0/-108/-18.png
0.0,cview_0,-108,18,RenderView1/0.0/-108/18.png
0.0,cview_0,-108,54,RenderView1/0.0/-108/54.png
0.0,cview_0,-36,-90,RenderView1/0.0/-36/-90.png
0.0,cview_0,-36,-54,RenderView1/0.0/-36/-54.png
0.0,cview_0,-36,-18,RenderView1/0.0/-36/-18.png
0.0,cview_0,-36,18,RenderView1/0.0/-36/18.png
0.0,cview_0,-36,54,RenderView1/0.0/-36/54.png
0.0,cview_0,36,-90,RenderView1/0.0/36/-90.png
0.0,cview_0,36,-54,RenderView1/0.0/36/-54.png
